warehouse_id,name,region,delivery_month,monthly_inbound_shipments,total_inbound_weight_kg,monthly_freight_cost_usd,monthly_otif_pct
WH-CHI-02,Chicago Midwest DC,North America,2026-01,63,143713.34,336079.89,87.3
WH-CHI-02,Chicago Midwest DC,North America,2026-02,77,177244.92,371711.96,77.92
WH-CHI-02,Chicago Midwest DC,North America,2026-03,83,170343.31,375082.64,81.93
WH-CHI-02,Chicago Midwest DC,North America,2026-04,83,204336.48,432895.88,83.13
WH-CHI-02,Chicago Midwest DC,North America,2026-05,84,208095.86,460696.44,83.33
WH-CHI-02,Chicago Midwest DC,North America,2026-06,100,239671.09,494982.61,78.0
WH-CHI-02,Chicago Midwest DC,North America,2026-07,26,55907.44,89179.79,73.08
WH-DAL-03,Dallas South DC,North America,2026-01,60,137567.96,299043.89999999997,86.67
WH-DAL-03,Dallas South DC,North America,2026-02,85,202789.7,454369.39,84.71
WH-DAL-03,Dallas South DC,North America,2026-03,81,161934.38,339893.67,79.01
WH-DAL-03,Dallas South DC,North America,2026-04,82,188505.77,413347.68,82.93
WH-DAL-03,Dallas South DC,North America,2026-05,83,192830.6,392194.61,79.52
WH-DAL-03,Dallas South DC,North America,2026-06,84,203354.67,435505.76,75.0
WH-DAL-03,Dallas South DC,North America,2026-07,29,68238.33,109470.51,65.52
WH-DXB-10,Dubai MEA Gateway,MEA,2026-01,61,127795.57,287540.06,80.33
WH-DXB-10,Dubai MEA Gateway,MEA,2026-02,91,202302.02,427770.61,82.42
WH-DXB-10,Dubai MEA Gateway,MEA,2026-03,82,165308.65,351297.6,81.71
WH-DXB-10,Dubai MEA Gateway,MEA,2026-04,82,188589.96,386728.02,74.39
WH-DXB-10,Dubai MEA Gateway,MEA,2026-05,88,200555.03,465619.12,76.14
WH-DXB-10,Dubai MEA Gateway,MEA,2026-06,88,209859.37,407294.31,75.0
WH-DXB-10,Dubai MEA Gateway,MEA,2026-07,20,54369.56,88238.53,65.0
WH-FRA-05,Frankfurt Central DC,Europe,2026-01,64,161780.58,383767.96,84.38
WH-FRA-05,Frankfurt Central DC,Europe,2026-02,61,141685.58000000002,292716.96,80.33
WH-FRA-05,Frankfurt Central DC,Europe,2026-03,107,206308.62,439933.4,82.24
WH-FRA-05,Frankfurt Central DC,Europe,2026-04,70,164334.21,365899.32,82.86
WH-FRA-05,Frankfurt Central DC,Europe,2026-05,68,162485.05,353030.39,86.76
